policy,n_users,seed,sum_rate,runtime_ms,is_feasible,binary_objective,num_evaluated_assignments,power_optimizer_success,power_optimizer_iterations,rate_before_refinement,rate_after_refinement,best_available_rate,quality_pct_best_available,exact_rate,quality_pct_exact,exact_gap_pct
QIO-Default,2,120,3.05729624236786,16.48855209350586,True,-397.35367695755053,,True,1,3.05729624236786,3.05729624236786,13.118103058145165,23.305932487468553,13.118103058145165,23.305932487468553,76.69406751253145
QIO-HighQuality,2,120,3.05729624236786,139.9369239807129,True,-397.35367695755053,,True,1,3.05729624236786,3.05729624236786,13.118103058145165,23.305932487468553,13.118103058145165,23.305932487468553,76.69406751253145
LocalSearch,2,120,3.05729624236786,4.605770111083984,True,-397.35367695755053,,True,1,3.05729624236786,3.05729624236786,13.118103058145165,23.305932487468553,13.118103058145165,23.305932487468553,76.69406751253145
ExactSmall,2,120,13.118103058145165,38.94376754760742,True,3134.6543822250424,16.0,True,2,11.483398811489863,13.118103058145165,13.118103058145165,99.99999999999999,13.118103058145165,99.99999999999999,0.0
Greedy,2,130,1.9992019032931094,1.430511474609375,True,,,True,1,1.9992019032931094,1.9992019032931094,12.98042181801448,15.401671311779547,12.98042181801448,15.401671311779547,84.59832868822045
QIO-Default,2,130,2.9319447230216085,17.173051834106445,True,-394.3208077681708,,True,1,2.9319447230216085,2.9319447230216085,12.98042181801448,22.587437944062795,12.98042181801448,22.587437944062795,77.4125620559372
QIO-HighQuality,2,130,2.9319447230216085,148.19073677062988,True,-394.3208077681708,,True,1,2.9319447230216085,2.9319447230216085,12.98042181801448,22.587437944062795,12.98042181801448,22.587437944062795,77.4125620559372
LocalSearch,2,130,2.9319447230216085,4.243135452270508,True,-394.3208077681708,,True,1,2.9319447230216085,2.9319447230216085,12.98042181801448,22.587437944062795,12.98042181801448,22.587437944062795,77.4125620559372
ExactSmall,2,130,12.98042181801448,41.9309139251709,True,1799.551299101995,16.0,True,2,10.76912743033834,12.98042181801448,12.98042181801448,100.0,12.98042181801448,100.0,0.0
Greedy,2,140,1.9996323056277365,1.4951229095458984,True,,,True,1,1.9996323056277365,1.9996323056277365,13.184669827719864,15.166343425784138,13.184669827719864,15.166343425784138,84.83365657421587
QIO-Default,2,140,4.573609448355001,16.381502151489258,True,-400.09766368552926,,True,1,4.573609448355001,4.573609448355001,13.184669827719864,34.68884324080154,13.184669827719864,34.68884324080154,65.31115675919845
